,date_iD,Date,Site_ID,sample code,subset sample code,lot code (#),provisional ID (order),family ID,abundance,notes,Replicate,small,medium,big,notes
,24/05/2018,2018-05-03,EP4,EP4-BM-03.05.18,EP4-BM-03.05.18-S,EP4-BM-03.05.18-S-1,Diptera,Chironomidae A,23,A2,Rep_1,92,1,,"A1, A2"
,24/05/2018,2018-05-03,EP4,EP4-BM-03.05.18,EP4-BM-03.05.18-S,EP4-BM-03.05.18-S-2,Diptera,Chironomidae C,69,A3,Rep_1,,,,
,24/05/2018,2018-05-03,EP4,EP4-BM-03.05.18,EP4-BM-03.05.18-S,EP4-BM-03.05.18-S-3,Unknown,,3,A1,Rep_1,,,,
,25/05/2018,2018-05-03,HC,HC-BM-03.05.18,HC-BM-03.05.18-S,HC-BM-03.05.18-S-1,Diptera,Chironomidae L,1,A4,Rep_1,1,2,,"A3,A4"
,25/05/2018,2018-05-03,HC,HC-BM-03.05.18,HC-BM-03.05.18-S,HC-BM-03.05.18-S-2,Diptera,Chironomidae A,3,A5,Rep_1,,,,
,25/05/2018,2018-05-03,HC,HC-BM-03.05.18,HC-BM-03.05.18-S,HC-BM-03.05.18-S-3,Amphipoda,,2,A6,Rep_1,,,,
,2018-06-06,2018-05-07,AT,AT-BM-07.05.18,AT-BM-07.05.18-S,HC-BM-07.05.18-S-4,Plecoptera,Perlodidae,5,C2,Rep_1,57,3,,"A10, B1"
,2018-06-06,2018-05-07,AT,AT-BM-07.05.18,AT-BM-07.05.18-S,HC-BM-07.05.18-S-5,copepod,,2,C3,Rep_1,,,,
,2018-06-06,2018-05-07,AT,AT-BM-07.05.18,AT-BM-07.05.18-S,HC-BM-07.05.18-S-6,Diptera,chironomidae L,28,C4,Rep_1,,,,
,2018-06-06,2018-05-07,AT,AT-BM-07.05.18,AT-BM-07.05.18-S,HC-BM-07.05.18-S-7,Diptera,chironomidae A,14,C5,Rep_1,,,,
,2018-06-06,2018-05-07,AT,AT-BM-07.05.18,AT-BM-07.05.18-S,HC-BM-07.05.18-S-8,Gastropoda,,10,C6,Rep_1,,,,
,2018-06-06,2018-05-07,AT,AT-BM-07.05.18,AT-BM-07.05.18-S,HC-BM-07.05.18-S-9,Diptera,Simuliidae ,1,C7,Rep_1,,,,
,2018-06-06,2018-05-07,EP4,EP4-BM-07.05.18,EP4-BM-07.05.18-S,EP4-BM-07.05.18-S-1,Diptera,chironomidae L,20,C8,Rep_1,33,,,B2
,2018-06-06,2018-05-07,EP4,EP4-BM-07.05.18,EP4-BM-07.05.18-S,EP4-BM-07.05.18-S-2,Diptera,chironomidae A,6,C9,Rep_1,,,,
,2018-06-06,2018-05-07,EP4,EP4-BM-07.05.18,EP4-BM-07.05.18-S,EP4-BM-07.05.18-S-3,Gastropoda,,7,C10,Rep_1,,,,
,01/06/2018,2018-05-07,HC,HC-BM-07.05.18,HC-BM-07.05.18-S,HC-BM-07.05.18-S-1,Amphipoda,,4,B9,Rep_1,9,,,A9
,01/06/2018,2018-05-07,HC,HC-BM-07.05.18,HC-BM-07.05.18-S,HC-BM-07.05.18-S-2,Diptera,Chironomidae L,4,B10,Rep_1,,,,
,01/06/2018,2018-05-07,HC,HC-BM-07.05.18,HC-BM-07.05.18-S,HC-BM-07.05.18-S-3,Diptera,Simuliidae L,1,C1,Rep_1,,,,
,2018-06-06,2018-05-10,AT,AT-BM-10.05.18,AT-BM-10.05.18-S,AT-BM-10.05.18-S-1,Diptera,simuliidae,3,D1,Rep_1,36,,,B3
,2018-06-06,2018-05-10,AT,AT-BM-10.05.18,AT-BM-10.05.18-S,AT-BM-10.05.18-S-2,Diptera,chironomidae L,13,D2,Rep_1,,,,
,2018-06-06,2018-05-10,AT,AT-BM-10.05.18,AT-BM-10.05.18-S,AT-BM-10.05.18-S-3,Plecoptera,Perlodidae,20,D3,Rep_1,,,,
,2018-07-06,2018-05-10,EP4,EP4-BM-10.05.18,EP4-BM-10.05.18-S,EP4-BM-10.05.18-S-1,Diptera,chironomidae L,31,D4,Rep_1,34,1,,"B4, B5"
,2018-07-06,2018-05-10,EP4,EP4-BM-10.05.18,EP4-BM-10.05.18-S,EP4-BM-10.05.18-S-2,Coleoptera,haliplidae,1,D5,Rep_1,,,,
,2018-07-06,2018-05-10,EP4,EP4-BM-10.05.18,EP4-BM-10.05.18-S,EP4-BM-10.05.18-S-3,Diptera,chironomidae A,3,D6,Rep_1,,,,
,2018-08-06,2018-05-14,AT,AT-BM-14.05.18,AT-BM-14.05.18-S,AT-BM-14.05.18-S-1,Diptera,chironomidae L,1,E6,Rep_1,8,,,B10
