OurLabID,Sample ID,,Weight (mg),Delta 2H (‰),Ampl. (mV),% H,Comment run,Comment submission,VeizerSIL ID
G-26287,AT1-18-CC-08,,0.695,-131.39,6508,1.9,,Creek Chub,B1819-547-001
G-26288,AT1-18-CC-09,,0.754,-136.58,7154,1.9,,Creek Chub,B1819-547-002
G-26289,AT1-18-CC-10,,0.686,-144.81,6521,1.9,,Creek Chub,B1819-547-003
G-26290,AT1-18-SC-01,,0.840,-140.61,7073,1.7,,Canada Goldenrod,B1819-547-004
G-26291,AT1-18-SC-02,,0.746,-133.55,6077,1.7,,Canada Goldenrod,B1819-547-005
G-26292,AT1-18-SC-03,,0.828,-142.43,6935,1.7,,Canada Goldenrod,B1819-547-006
G-26293,AT1-18-TS-01,,0.666,-102.83,5767,5.8,,Snails (internal muscle),B1819-547-007
,AT1-18-TS-02,,0.686,-98.27,6206,6.4,,,
,AT1-18-TS-02,,0.735,-95.26,6907,6.5,,,
G-26296,AT1-18-TS-03,,0.721,-94.34,6364,5.8,,Snails (internal muscle),B1819-547-010
G-26297,AT1-18-AL-01,,3.451,-97.20,6338,0.4,,Algae,B1819-547-011
G-26298,AT1-18-AL-02,,3.159,-221.13,5948,0.7,,Algae,B1819-547-012
G-26299,AT1-18-AL-03,,3.096,-209.02,5279,1.5,,Algae,B1819-547-013
,AT1-18-AQS-01,,1.067,-158.98,9506,6.0,,,
,AT1-18-AQS-02,,1.080,-162.60,8831,5.5,,,
G-26302,HC1-18-AL-03,,2.996,-158.31,5386,0.6,,Snails (internal muscle),B1819-547-016
G-26303,AT1-18-DT-01,,0.792,-195.60,1615,2.1,,Detritus (conditioned leaves),B1819-547-017
G-26304,AT1-18-DT-02,,0.808,-111.02,1833,0.5,,Detritus (conditioned leaves),B1819-547-018
G-26305,AT2-18-CC-01,,0.665,-110.61,6415,0.9,,Creek Chub,B1819-547-019
G-26306,AT2-18-CC-01,,0.771,-113.87,6537,3.4,,0,B1819-547-020
G-26307,AT1-18-DT-03,,0.852,-109.68,2071,0.6,,Detritus (conditioned leaves),B1819-547-021
G-26308,AT2-18-CC-02,,0.714,-126.00,6473,1.9,,Creek Chub,B1819-547-022
,AT2-18-CC-32,,0.703,-132.91,6491,2.5,,Creek Chub,
,AT2-18-CC-33,,0.768,-129.35,6850,2.2,,Creek Chub,
G-26311,AT2-18-CC-34,,0.688,-128.64,5885,1.8,,Creek Chub,B1819-547-025
G-26312,AT2-18-CC-35 - CANCEL,,,,,,cancelled,Creek Chub,B1819-547-026
G-26313,AT2-18-CC-36,,0.735,-141.04,6319,1.8,,Creek Chub,B1819-547-027
G-26314,AT2-18-CC-37 - CANCEL,,,,,,cancelled,Creek Chub,B1819-547-028
G-26315,AT2-18-CC-38,,0.738,-116.75,6447,1.8,,Creek Chub,B1819-547-029
G-26316,AT2-18-CC-39,,0.752,-141.79,6347,1.7,,Creek Chub,B1819-547-030
G-26317,AT2-18-DT-01,,0.794,-114.28,3991,1.1,,Detritus (conditioned leaves),B1819-547-031
G-26318,AT2-18-DT-01,,0.747,-110.51,4031,1.2,,0,B1819-547-032
G-26319,AT2-18-DT-02,,0.835,-116.53,3563,0.9,,Detritus (conditioned leaves),B1819-547-033
G-26320,AT2-18-DT-03,,0.842,-109.37,5628,1.4,,Detritus (conditioned leaves),B1819-547-034
G-26321,AT2-18-AL-01,,3.353,-159.86,7610,0.5,,Algae,B1819-547-035
G-26322,AT2-18-AL-02,,3.445,-159.52,8082,0.5,,Algae,B1819-547-036
G-26323,AT2-18-AL-03,,2.987,-160.37,6684,0.5,,Algae,B1819-547-037
G-26324,AT2-18-SC-01,,0.846,-164.34,7215,1.8,,Canada Goldenrod,B1819-547-038
G-26325,AT2-18-SC-02,,0.789,-165.47,6497,1.7,,Canada Goldenrod,B1819-547-039
G-26326,AT2-18-SC-03,,0.835,-170.09,7206,1.8,,Canada Goldenrod,B1819-547-040
G-26327,AT2-18-GH-01,,0.746,-110.82,6771,1.8,,Grasshopper,B1819-547-041
G-26328,AT2-18-GH-02,,0.678,-110.87,6113,1.9,,Grasshopper,B1819-547-042
G-26329,AT2-18-GH-02,,0.700,-111.55,6371,1.9,,0,B1819-547-043
G-26330,AT2-18-GH-03,,0.681,-116.91,6320,1.9,,Grasshopper,B1819-547-044
G-26331,AT2-18-SN-01,,0.971,-134.51,6023,1.3,,Snails (internal muscle),B1819-547-045
G-26332,AT2-18-SN-02,,1.093,-142.77,5696,1.1,,Snails (internal muscle),B1819-547-046
G-26333,AT2-18-SN-03,,1.007,-141.61,6102,1.3,,Snails (internal muscle),B1819-547-047
G-26334,AT3-18-CC-01,,0.672,-120.09,6091,1.9,,Creek Chub,B1819-547-048
G-26335,AT3-18-CC-02,,0.646,-121.05,5629,1.8,,Creek Chub,B1819-547-049
G-26336,AT3-18-CC-03,,0.719,-133.21,6035,1.8,,Creek Chub,B1819-547-050
G-26337,AT3-18-CC-04,,0.716,-132.69,6076,1.8,,Creek Chub,B1819-547-051
G-26338,AT3-18-CC-05,,0.755,-138.40,6553,1.8,,Creek Chub,B1819-547-052
G-26339,AT3-18-CC-06,,0.708,-132.02,6232,1.8,,Creek Chub,B1819-547-053
