"","diff","lwr","upr","p adj"
"Mid Impact:Spring-Low Impact:Spring",-1.14641016151378,-2.50337792696019,0.210557603932636,0.153404799768557
"High Impact:Spring-Low Impact:Spring",0.336432550960844,-1.02053521448557,1.69340031640726,0.995312460658699
"Low Impact:Summer-Low Impact:Spring",-0.422109644908896,-1.86139130810697,1.01717201828918,0.98594935968657
"Mid Impact:Summer-Low Impact:Spring",-0.304075656159002,-1.74335731935707,1.13520600703907,0.99844970347175
"High Impact:Summer-Low Impact:Spring",0.864025780281786,-0.492941985164626,2.2209935457282,0.48341078866204
"Low Impact:Fall-Low Impact:Spring",-0.568556254315622,-2.00783791751369,0.870725408882449,0.92128393140861
"Mid Impact:Fall-Low Impact:Spring",-0.0635674490391567,-1.42053521448557,1.29340031640725,0.999999985699973
"High Impact:Fall-Low Impact:Spring",0.863082467103004,-0.493885298343408,2.22005023254941,0.484854060319488
"High Impact:Spring-Mid Impact:Spring",1.48284271247462,0.125874947028208,2.83981047792103,0.0236910292069347
"Low Impact:Summer-Mid Impact:Spring",0.72430051660488,-0.714981146593191,2.16358217980295,0.7603941144267
"Mid Impact:Summer-Mid Impact:Spring",0.842334505354774,-0.596947157843297,2.28161616855285,0.592502985946202
"High Impact:Summer-Mid Impact:Spring",2.01043594179556,0.65346817634915,3.36740370724197,0.00071908791935904
"Low Impact:Fall-Mid Impact:Spring",0.577853907198153,-0.861427755999918,2.01713557039622,0.91441791226415
"Mid Impact:Fall-Mid Impact:Spring",1.08284271247462,-0.274125052971792,2.43981047792103,0.206835654943112
"High Impact:Fall-Mid Impact:Spring",2.00949262861678,0.652524863170368,3.36646039406319,0.00072382261532733
"Low Impact:Summer-High Impact:Spring",-0.75854219586974,-2.19782385906781,0.680739467328331,0.714095472249258
"Mid Impact:Summer-High Impact:Spring",-0.640508207119846,-2.07978987031792,0.798773456078226,0.858662080527218
"High Impact:Summer-High Impact:Spring",0.527593229320942,-0.829374536125469,1.88456099476735,0.927556158031486
"Low Impact:Fall-High Impact:Spring",-0.904988805276466,-2.34427046847454,0.534292857921605,0.499997476906519
"Mid Impact:Fall-High Impact:Spring",-0.4,-1.75696776544641,0.956967765446411,0.985491676903732
"High Impact:Fall-High Impact:Spring",0.52664991614216,-0.830317849304252,1.88361768158857,0.928235796971454
"Mid Impact:Summer-Low Impact:Summer",0.118033988749894,-1.39910209465719,1.63517007215698,0.99999920687508
"High Impact:Summer-Low Impact:Summer",1.28613542519068,-0.153146238007389,2.72541708838875,0.110053035657747
"Low Impact:Fall-Low Impact:Summer",-0.146446609406726,-1.66358269281381,1.37068947400036,0.999995703461212
"Mid Impact:Fall-Low Impact:Summer",0.358542195869739,-1.08073946732833,1.79782385906781,0.995159699355271
"High Impact:Fall-Low Impact:Summer",1.2851921120119,-0.154089551186172,2.72447377520997,0.110560073059608
"High Impact:Summer-Mid Impact:Summer",1.16810143644079,-0.271180226757283,2.60738309963886,0.190057997680439
"Low Impact:Fall-Mid Impact:Summer",-0.26448059815662,-1.7816166815637,1.25265548525046,0.999612836943448
"Mid Impact:Fall-Mid Impact:Summer",0.240508207119845,-1.19877345607823,1.67978987031792,0.999716702937601
"High Impact:Fall-Mid Impact:Summer",1.16715812326201,-0.272123539936066,2.60643978646008,0.190842357972699
"Low Impact:Fall-High Impact:Summer",-1.43258203459741,-2.87186369779548,0.00669962860066287,0.0518405891464305
"Mid Impact:Fall-High Impact:Summer",-0.927593229320943,-2.28456099476735,0.429374536125469,0.389855895153823
"High Impact:Fall-High Impact:Summer",-0.000943313178782379,-1.35791107862519,1.35602445226763,1
"Mid Impact:Fall-Low Impact:Fall",0.504988805276466,-0.934292857921605,1.94427046847454,0.958733924168219
"High Impact:Fall-Low Impact:Fall",1.43163872141863,-0.00764294177944524,2.8709203846167,0.0521045540096785
"High Impact:Fall-Mid Impact:Fall",0.92664991614216,-0.430317849304251,2.28361768158857,0.391180583682496
